symbol,date,hour,openbid,highbid,lowbid,closebid,openask,highask,lowask,closeask,totalticks
EUR/CAD,2017-07-02,19,1.47996,1.48164,1.47996,1.48058,1.48129,1.48273,1.48129,1.4821,212
EUR/CAD,2017-07-02,20,1.48058,1.48176,1.48028,1.48053,1.4821,1.48293,1.48165,1.48181,298
EUR/CAD,2017-07-02,21,1.48053,1.4813,1.48023,1.48129,1.48181,1.48208,1.48141,1.48201,595
EUR/CAD,2017-07-02,22,1.48129,1.48199,1.48106,1.48199,1.48201,1.48231,1.48137,1.48231,1910
EUR/CAD,2017-07-02,23,1.48199,1.48226,1.48158,1.48218,1.48231,1.48246,1.48177,1.4824,2307
EUR/CAD,2017-07-03,0,1.48218,1.48227,1.48113,1.48137,1.4824,1.48249,1.4813,1.48157,3147
EUR/CAD,2017-07-03,1,1.48137,1.4817,1.48101,1.48157,1.48157,1.48182,1.48114,1.48178,5519
EUR/CAD,2017-07-03,2,1.48157,1.4821,1.48106,1.48192,1.48178,1.48219,1.48126,1.48212,3686
EUR/CAD,2017-07-03,3,1.48192,1.48226,1.48132,1.48146,1.48212,1.48243,1.48143,1.48156,5601
EUR/CAD,2017-07-03,4,1.48146,1.48316,1.48138,1.48288,1.48156,1.48331,1.48149,1.48304,4524
EUR/CAD,2017-07-03,5,1.48288,1.48306,1.48214,1.48214,1.48304,1.48322,1.48233,1.48233,3960
EUR/CAD,2017-07-03,6,1.48214,1.4826,1.48148,1.48188,1.48233,1.48277,1.4816,1.48201,9105
EUR/CAD,2017-07-03,7,1.48188,1.48188,1.47931,1.47939,1.48201,1.48203,1.4794,1.47952,16002
EUR/CAD,2017-07-03,8,1.47939,1.47959,1.47711,1.47767,1.47952,1.47973,1.4772,1.47779,14477
EUR/CAD,2017-07-03,9,1.47767,1.4792,1.47713,1.47728,1.47779,1.47927,1.4772,1.47737,13196
EUR/CAD,2017-07-03,10,1.47728,1.47815,1.47664,1.47704,1.47737,1.47823,1.47675,1.47714,12156
EUR/CAD,2017-07-03,11,1.47704,1.47722,1.47471,1.47531,1.47714,1.47727,1.47478,1.47542,15373
EUR/CAD,2017-07-03,12,1.47531,1.47602,1.47405,1.47471,1.47542,1.4761,1.47414,1.47484,13952
EUR/CAD,2017-07-03,13,1.47471,1.47555,1.47364,1.47527,1.47484,1.47568,1.47376,1.47553,14657
EUR/CAD,2017-07-03,14,1.47527,1.4773,1.47388,1.47704,1.47553,1.4774,1.4746,1.47715,23060
EUR/CAD,2017-07-03,15,1.47704,1.47825,1.47603,1.47779,1.47715,1.47832,1.47606,1.47782,17548
EUR/CAD,2017-07-03,16,1.47779,1.4784,1.47623,1.47629,1.47782,1.47848,1.47636,1.47642,10493
EUR/CAD,2017-07-03,17,1.47629,1.47823,1.47623,1.4772,1.47642,1.47835,1.4764,1.47726,5295
EUR/CAD,2017-07-03,18,1.4772,1.47752,1.47662,1.47711,1.47726,1.47765,1.47668,1.47722,3694
EUR/CAD,2017-07-03,19,1.47711,1.47792,1.47708,1.47777,1.47722,1.47804,1.47718,1.4779,2582
EUR/CAD,2017-07-03,20,1.47777,1.4783,1.47643,1.47643,1.4779,1.4785,1.47783,1.4783,2576
EUR/CAD,2017-07-03,21,1.47643,1.47873,1.47643,1.47842,1.4783,1.4793,1.47822,1.47899,10868
EUR/CAD,2017-07-03,22,1.47842,1.47862,1.47776,1.47805,1.47899,1.47899,1.47814,1.47844,2291
EUR/CAD,2017-07-03,23,1.47805,1.47853,1.47707,1.47733,1.47844,1.47874,1.47726,1.47752,1752
EUR/CAD,2017-07-04,0,1.47733,1.47801,1.47665,1.4773,1.47752,1.4782,1.47685,1.47744,5220
EUR/CAD,2017-07-04,1,1.4773,1.47775,1.47687,1.47744,1.47744,1.47784,1.47708,1.47762,8346
EUR/CAD,2017-07-04,2,1.47744,1.47764,1.47617,1.47672,1.47762,1.47775,1.47631,1.47689,7212
EUR/CAD,2017-07-04,3,1.47672,1.47732,1.47647,1.47722,1.47689,1.47749,1.47666,1.47743,4385
