Date	Time	Open	High	Low	Close	TickVolume	Volume	Spread
2014.01.01	23:00:00	105.237	105.380	105.217	105.361	1092	0	6
2014.01.02	00:00:00	105.358	105.400	105.266	105.328	1597	0	6
2014.01.02	01:00:00	105.328	105.332	105.242	105.312	1710	0	6
2014.01.02	02:00:00	105.313	105.329	105.268	105.299	1309	0	6
2014.01.02	03:00:00	105.302	105.322	105.233	105.233	1561	0	6
2014.01.02	04:00:00	105.234	105.297	105.233	105.281	1128	0	6
2014.01.02	05:00:00	105.283	105.303	105.262	105.289	1159	0	6
2014.01.02	06:00:00	105.289	105.318	105.274	105.302	984	0	6
2014.01.02	07:00:00	105.299	105.329	105.277	105.322	1667	0	6
2014.01.02	08:00:00	105.323	105.386	105.287	105.367	1464	0	1
2014.01.02	09:00:00	105.369	105.396	105.314	105.356	1426	0	1
2014.01.02	10:00:00	105.361	105.400	105.346	105.366	1596	0	1
2014.01.02	11:00:00	105.364	105.390	105.325	105.389	1766	0	1
2014.01.02	12:00:00	105.389	105.440	105.369	105.394	1405	0	1
2014.01.02	13:00:00	105.396	105.430	105.367	105.384	1651	0	1
2014.01.02	14:00:00	105.384	105.393	105.084	105.106	2246	0	1
2014.01.02	15:00:00	105.108	105.122	104.786	104.849	3164	0	1
2014.01.02	16:00:00	104.852	105.027	104.664	105.027	3232	0	1
2014.01.02	17:00:00	105.026	105.041	104.778	104.843	1981	0	1
2014.01.02	18:00:00	104.842	104.906	104.771	104.844	1095	0	1
2014.01.02	19:00:00	104.843	104.865	104.638	104.677	1421	0	1
2014.01.02	20:00:00	104.677	104.726	104.547	104.704	1593	0	1
2014.01.02	21:00:00	104.706	104.794	104.704	104.752	1013	0	1
2014.01.02	22:00:00	104.754	104.827	104.661	104.784	945	0	1
2014.01.02	23:00:00	104.790	104.831	104.728	104.831	642	0	1
2014.01.03	00:00:00	104.835	104.861	104.761	104.842	783	0	1
2014.01.03	01:00:00	104.840	104.849	104.776	104.820	749	0	1
2014.01.03	02:00:00	104.818	104.870	104.776	104.778	909	0	1
2014.01.03	03:00:00	104.778	104.778	104.158	104.309	2961	0	1
2014.01.03	04:00:00	104.311	104.385	104.162	104.266	1673	0	1
2014.01.03	05:00:00	104.265	104.342	104.202	104.209	1077	0	1
2014.01.03	06:00:00	104.210	104.231	104.075	104.222	1813	0	1
2014.01.03	07:00:00	104.221	104.325	104.139	104.269	1199	0	1
2014.01.03	08:00:00	104.274	104.458	104.245	104.366	1513	0	1
2014.01.03	09:00:00	104.369	104.398	104.213	104.391	1885	0	1
2014.01.03	10:00:00	104.390	104.404	104.259	104.316	1207	0	1
2014.01.03	11:00:00	104.317	104.421	104.292	104.415	1024	0	1
2014.01.03	12:00:00	104.413	104.492	104.372	104.422	1446	0	1
2014.01.03	13:00:00	104.420	104.534	104.320	104.475	1619	0	1
2014.01.03	14:00:00	104.473	104.512	104.389	104.447	1381	0	1
2014.01.03	15:00:00	104.449	104.457	104.295	104.441	2107	0	1
2014.01.03	16:00:00	104.442	104.487	104.333	104.471	1766	0	1
2014.01.03	17:00:00	104.470	104.589	104.455	104.455	1837	0	1
2014.01.03	18:00:00	104.454	104.549	104.443	104.489	992	0	1
2014.01.03	19:00:00	104.488	104.495	104.403	104.465	736	0	1
2014.01.03	20:00:00	104.468	104.660	104.435	104.655	931	0	1
2014.01.03	21:00:00	104.657	104.834	104.640	104.777	1423	0	1
2014.01.03	22:00:00	104.790	104.880	104.762	104.844	891	0	1
2014.01.06	00:00:00	104.845	104.932	104.822	104.914	1097	0	1
2014.01.06	01:00:00	104.917	104.949	104.573	104.637	2771	0	1
2014.01.06	02:00:00	104.637	104.653	104.147	104.259	2903	0	1
2014.01.06	03:00:00	104.261	104.366	104.224	104.312	1927	0	1
2014.01.06	04:00:00	104.309	104.440	104.266	104.404	1439	0	1
2014.01.06	05:00:00	104.405	104.451	104.325	104.373	1276	0	1
2014.01.06	06:00:00	104.373	104.373	104.233	104.296	1393	0	1
2014.01.06	07:00:00	104.296	104.409	104.252	104.355	1126	0	1
2014.01.06	08:00:00	104.353	104.384	104.292	104.379	1214	0	1
2014.01.06	09:00:00	104.380	104.643	104.375	104.531	2078	0	1
2014.01.06	10:00:00	104.522	104.609	104.511	104.555	1400	0	1
2014.01.06	11:00:00	104.555	104.590	104.485	104.511	966	0	1
2014.01.06	12:00:00	104.517	104.628	104.510	104.609	1081	0	1
2014.01.06	13:00:00	104.609	104.654	104.548	104.591	1168	0	1
2014.01.06	14:00:00	104.592	104.647	104.557	104.614	1248	0	1
2014.01.06	15:00:00	104.616	104.838	104.612	104.814	2209	0	1
2014.01.06	16:00:00	104.815	104.815	104.499	104.526	2671	0	1
2014.01.06	17:00:00	104.526	104.595	104.296	104.381	2478	0	1
2014.01.06	18:00:00	104.377	104.377	103.912	104.037	2920	0	1
2014.01.06	19:00:00	104.040	104.215	103.962	104.185	1608	0	1
2014.01.06	20:00:00	104.185	104.335	104.182	104.266	1446	0	1
2014.01.06	21:00:00	104.266	104.297	104.116	104.188	1113	0	1
2014.01.06	22:00:00	104.186	104.234	104.165	104.214	702	0	1
2014.01.06	23:00:00	104.216	104.265	104.168	104.230	764	0	1
2014.01.07	00:00:00	104.230	104.287	104.198	104.222	841	0	1
2014.01.07	01:00:00	104.221	104.491	104.221	104.384	2317	0	1
2014.01.07	02:00:00	104.385	104.392	104.178	104.323	2321	0	1
2014.01.07	03:00:00	104.327	104.392	104.245	104.320	1477	0	1
2014.01.07	04:00:00	104.323	104.617	104.323	104.549	1831	0	1
2014.01.07	05:00:00	104.551	104.595	104.391	104.461	1697	0	1
2014.01.07	06:00:00	104.461	104.592	104.414	104.583	1678	0	1
2014.01.07	07:00:00	104.580	104.580	104.425	104.428	1312	0	1
2014.01.07	08:00:00	104.428	104.503	104.334	104.356	1466	0	1
2014.01.07	09:00:00	104.362	104.415	104.249	104.343	1711	0	1
2014.01.07	10:00:00	104.343	104.375	104.279	104.342	1347	0	1
2014.01.07	11:00:00	104.341	104.465	104.333	104.442	1552	0	1
2014.01.07	12:00:00	104.443	104.478	104.376	104.427	1331	0	1
2014.01.07	13:00:00	104.427	104.486	104.376	104.441	1314	0	1
2014.01.07	14:00:00	104.445	104.554	104.375	104.498	1922	0	1
2014.01.07	15:00:00	104.495	104.634	104.430	104.631	1852	0	1
2014.01.07	16:00:00	104.631	104.734	104.614	104.660	2244	0	1
2014.01.07	17:00:00	104.658	104.660	104.532	104.546	1510	0	1
2014.01.07	18:00:00	104.547	104.556	104.332	104.484	1534	0	1
2014.01.07	19:00:00	104.474	104.543	104.442	104.496	1120	0	1
2014.01.07	20:00:00	104.496	104.525	104.445	104.486	986	0	1
2014.01.07	21:00:00	104.485	104.557	104.473	104.554	799	0	1
2014.01.07	22:00:00	104.554	104.618	104.538	104.583	598	0	1
2014.01.07	23:00:00	104.586	104.701	104.584	104.683	784	0	1
2014.01.08	00:00:00	104.681	104.732	104.626	104.717	1119	0	1
2014.01.08	01:00:00	104.717	104.774	104.682	104.712	1919	0	1
2014.01.08	02:00:00	104.712	104.883	104.662	104.804	2375	0	1
2014.01.08	03:00:00	104.804	104.875	104.776	104.853	1256	0	1
2014.01.08	04:00:00	104.853	104.934	104.843	104.907	1456	0	1
2014.01.08	05:00:00	104.907	104.961	104.842	104.955	1365	0	1
2014.01.08	06:00:00	104.954	104.997	104.925	104.986	1768	0	1
2014.01.08	07:00:00	104.987	105.000	104.835	104.911	1394	0	1
2014.01.08	08:00:00	104.912	105.123	104.907	105.064	1675	0	1
2014.01.08	09:00:00	105.064	105.064	104.935	105.031	1959	0	1
2014.01.08	10:00:00	105.031	105.056	104.908	104.934	1490	0	1
2014.01.08	11:00:00	104.934	104.984	104.666	104.770	2292	0	1
2014.01.08	12:00:00	104.768	104.829	104.721	104.811	1221	0	1
2014.01.08	13:00:00	104.811	104.830	104.738	104.784	1243	0	1
2014.01.08	14:00:00	104.782	105.006	104.680	104.781	2716	0	1
2014.01.08	15:00:00	104.781	104.896	104.738	104.823	2119	0	1
2014.01.08	16:00:00	104.815	104.889	104.788	104.826	2076	0	1
2014.01.08	17:00:00	104.824	104.938	104.808	104.871	1717	0	1
2014.01.08	18:00:00	104.872	105.003	104.857	104.933	1367	0	1
2014.01.08	19:00:00	104.931	105.001	104.896	104.965	997	0	1
2014.01.08	20:00:00	104.968	105.053	104.767	104.812	2518	0	1
2014.01.08	21:00:00	104.812	104.839	104.710	104.751	1267	0	1
2014.01.08	22:00:00	104.753	104.882	104.750	104.841	773	0	1
2014.01.08	23:00:00	104.842	104.924	104.842	104.881	661	0	1
2014.01.09	00:00:00	104.878	104.878	104.799	104.842	853	0	1
2014.01.09	01:00:00	104.840	104.864	104.744	104.779	2167	0	1
2014.01.09	02:00:00	104.780	104.943	104.742	104.896	2099	0	1
2014.01.09	03:00:00	104.895	104.983	104.881	104.936	1393	0	1
2014.01.09	04:00:00	104.936	104.951	104.819	104.839	1251	0	1
2014.01.09	05:00:00	104.843	104.884	104.816	104.870	1420	0	1
2014.01.09	06:00:00	104.869	104.911	104.851	104.891	1132	0	1
2014.01.09	07:00:00	104.890	104.939	104.866	104.903	1211	0	1
2014.01.09	08:00:00	104.905	104.912	104.847	104.882	1181	0	1
2014.01.09	09:00:00	104.881	104.932	104.849	104.888	1430	0	1
2014.01.09	10:00:00	104.888	105.057	104.886	104.988	1697	0	1
2014.01.09	11:00:00	104.991	105.032	104.973	104.985	1212	0	1
2014.01.09	12:00:00	104.986	105.001	104.921	104.957	1225	0	1
2014.01.09	13:00:00	104.959	105.031	104.956	105.030	1385	0	1
2014.01.09	14:00:00	105.030	105.030	104.773	104.799	2650	0	1
2014.01.09	15:00:00	104.798	104.952	104.770	104.940	2204	0	1
2014.01.09	16:00:00	104.941	104.977	104.744	104.778	2290	0	1
2014.01.09	17:00:00	104.777	104.785	104.580	104.745	2366	0	1
2014.01.09	18:00:00	104.745	104.824	104.717	104.767	1159	0	1
2014.01.09	19:00:00	104.768	104.814	104.720	104.783	845	0	1
2014.01.09	20:00:00	104.783	104.788	104.725	104.748	752	0	1
2014.01.09	21:00:00	104.750	104.807	104.750	104.800	1022	0	1
2014.01.09	22:00:00	104.802	104.848	104.754	104.822	924	0	1
2014.01.09	23:00:00	104.812	104.853	104.776	104.829	747	0	1
2014.01.10	00:00:00	104.828	104.864	104.804	104.833	928	0	1
2014.01.10	01:00:00	104.832	104.938	104.782	104.925	1845	0	1
2014.01.10	02:00:00	104.925	104.928	104.804	104.863	1729	0	1
2014.01.10	03:00:00	104.868	104.895	104.807	104.878	1208	0	1
